t,Vin,Vout
-2.09000E-03,-483.76563E-03,+2.73438E-03
-2.08000E-03,-484.31250E-03,+1.36719E-03
-2.07000E-03,-484.85938E-03,+3.55469E-03
-2.06000E-03,-483.76563E-03,+1.09375E-03
-2.05000E-03,-484.85938E-03,+2.46094E-03
-2.04000E-03,-483.76563E-03,+3.00781E-03
-2.03000E-03,-484.31250E-03,+1.09375E-03
-2.02000E-03,-484.85938E-03,+3.55469E-03
-2.01000E-03,-482.67188E-03,+1.36719E-03
-2.00000E-03,-484.58594E-03,+2.46094E-03
-1.99000E-03,-483.49219E-03,+3.00781E-03
-1.98000E-03,-484.31250E-03,+1.09375E-03
-1.97000E-03,-484.31250E-03,+3.82813E-03
-1.96000E-03,-484.31250E-03,+1.09375E-03
-1.95000E-03,-484.31250E-03,+2.46094E-03
-1.94000E-03,-483.49219E-03,+3.00781E-03
-1.93000E-03,-484.58594E-03,+546.88E-06
-1.92000E-03,-484.03906E-03,+3.82813E-03
-1.91000E-03,-483.21875E-03,+1.09375E-03
-1.90000E-03,-484.03906E-03,+2.18750E-03
-1.89000E-03,-482.94531E-03,+3.00781E-03
-1.88000E-03,-484.85938E-03,+273.44E-06
-1.87000E-03,-483.49219E-03,+3.82813E-03
-1.86000E-03,-485.13281E-03,+273.44E-06
-1.85000E-03,-484.58594E-03,+2.18750E-03
-1.84000E-03,-483.76563E-03,+3.28125E-03
-1.83000E-03,-484.85938E-03,+273.44E-06
-1.82000E-03,-483.76563E-03,+4.10156E-03
-1.81000E-03,-485.13281E-03,+546.88E-06
-1.80000E-03,-484.85938E-03,+2.18750E-03
-1.79000E-03,-483.76563E-03,+2.73438E-03
-1.78000E-03,-484.31250E-03,+273.44E-06
-1.77000E-03,-483.21875E-03,+3.55469E-03
-1.76000E-03,-485.13281E-03,+820.31E-06
-1.75000E-03,-484.03906E-03,+1.91406E-03
-1.74000E-03,-484.85938E-03,+2.73438E-03
-1.73000E-03,-484.03906E-03,+546.88E-06
-1.72000E-03,-484.03906E-03,+3.82813E-03
-1.71000E-03,-485.13281E-03,+1.36719E-03
-1.70000E-03,-484.58594E-03,+2.18750E-03
-1.69000E-03,-484.85938E-03,+3.55469E-03
-1.68000E-03,-484.58594E-03,+1.09375E-03
-1.67000E-03,-484.03906E-03,+4.10156E-03
-1.66000E-03,-484.85938E-03,+1.91406E-03
-1.65000E-03,-483.76563E-03,+2.46094E-03
-1.64000E-03,-485.13281E-03,+3.28125E-03
-1.63000E-03,-483.49219E-03,+1.36719E-03
-1.62000E-03,-484.31250E-03,+4.10156E-03
-1.61000E-03,-484.31250E-03,+1.91406E-03
-1.60000E-03,-484.03906E-03,+2.18750E-03
-1.59000E-03,-485.13281E-03,+3.55469E-03
-1.58000E-03,-483.21875E-03,+1.09375E-03
-1.57000E-03,-484.03906E-03,+3.82813E-03
-1.56000E-03,-483.49219E-03,+2.18750E-03
-1.55000E-03,-484.03906E-03,+2.18750E-03
-1.54000E-03,-484.58594E-03,+3.82813E-03
-1.53000E-03,-483.21875E-03,+1.36719E-03
-1.52000E-03,-484.03906E-03,+3.55469E-03
-1.51000E-03,-483.49219E-03,+2.73438E-03
-1.50000E-03,-484.03906E-03,+1.91406E-03
-1.49000E-03,-484.85938E-03,+3.55469E-03
-1.48000E-03,-483.21875E-03,+1.36719E-03
-1.47000E-03,-483.21875E-03,+3.55469E-03
-1.46000E-03,-482.94531E-03,+2.73438E-03
-1.45000E-03,-483.76563E-03,+1.64063E-03
-1.44000E-03,-483.49219E-03,+3.82813E-03
-1.43000E-03,-482.94531E-03,+546.88E-06
-1.42000E-03,-483.49219E-03,+3.00781E-03
-1.41000E-03,-482.12500E-03,+2.18750E-03
-1.40000E-03,-484.31250E-03,+820.31E-06
-1.39000E-03,-483.21875E-03,+3.82813E-03
-1.38000E-03,-483.49219E-03,+546.88E-06
-1.37000E-03,-483.76563E-03,+2.46094E-03
-1.36000E-03,-482.12500E-03,+2.18750E-03
-1.35000E-03,-483.21875E-03,+273.44E-06
-1.34000E-03,-482.94531E-03,+3.55469E-03
-1.33000E-03,-483.49219E-03,+0.0E+00
-1.32000E-03,-482.94531E-03,+2.73438E-03
-1.31000E-03,-482.67188E-03,+2.18750E-03
-1.30000E-03,-483.49219E-03,+546.88E-06
-1.29000E-03,-482.94531E-03,+3.55469E-03
-1.28000E-03,-483.49219E-03,+0.0E+00
-1.27000E-03,-482.67188E-03,+2.73438E-03
-1.26000E-03,-482.67188E-03,+1.91406E-03
-1.25000E-03,-483.49219E-03,+0.0E+00
-1.24000E-03,-482.67188E-03,+3.28125E-03
-1.23000E-03,-483.76563E-03,-273.44E-06
-1.22000E-03,-482.94531E-03,+2.73438E-03
-1.21000E-03,-483.49219E-03,+1.64063E-03
-1.20000E-03,-482.94531E-03,+820.31E-06
-1.19000E-03,-482.67188E-03,+3.55469E-03
-1.18000E-03,-483.76563E-03,+273.44E-06
-1.17000E-03,-483.21875E-03,+3.00781E-03
-1.16000E-03,-484.03906E-03,+2.18750E-03
-1.15000E-03,-482.67188E-03,+1.09375E-03
-1.14000E-03,-482.94531E-03,+3.82813E-03
-1.13000E-03,-483.49219E-03,+546.88E-06
-1.12000E-03,-483.21875E-03,+2.73438E-03
-1.11000E-03,-483.21875E-03,+2.18750E-03
-1.10000E-03,-482.94531E-03,+546.88E-06
-1.09000E-03,-482.39844E-03,+3.28125E-03
-1.08000E-03,-484.31250E-03,+0.0E+00
-1.07000E-03,-482.67188E-03,+2.46094E-03
-1.06000E-03,-484.03906E-03,+1.36719E-03
-1.05000E-03,-481.57813E-03,+273.44E-06
-1.04000E-03,-482.94531E-03,+2.18750E-03
-1.03000E-03,-482.67188E-03,-820.31E-06
-1.02000E-03,-483.76563E-03,+1.09375E-03
-1.01000E-03,-483.21875E-03,+546.88E-06
-1.00000E-03,-482.39844E-03,+0.0E+00
-990.00E-06,-482.94531E-03,+1.91406E-03
-980.00E-06,-482.67188E-03,-546.88E-06
-970.00E-06,-482.94531E-03,+2.18750E-03
-960.00E-06,-483.76563E-03,+820.31E-06
-950.00E-06,-482.12500E-03,+820.31E-06
-940.00E-06,-483.76563E-03,+2.46094E-03
-930.00E-06,-483.21875E-03,-546.88E-06
-920.00E-06,-484.31250E-03,+1.64063E-03
-910.00E-06,-483.49219E-03,+820.31E-06
-900.00E-06,-483.21875E-03,+546.88E-06
-890.00E-06,-483.49219E-03,+2.18750E-03
-880.00E-06,-484.03906E-03,-273.44E-06
-870.00E-06,-484.85938E-03,+1.64063E-03
-860.00E-06,-484.03906E-03,+820.31E-06
-850.00E-06,-483.49219E-03,+546.88E-06
-840.00E-06,-483.49219E-03,+2.46094E-03
-830.00E-06,-482.39844E-03,-273.44E-06
-820.00E-06,-484.03906E-03,+1.91406E-03
-810.00E-06,-482.67188E-03,+1.36719E-03
-800.00E-06,-483.21875E-03,+546.88E-06
-790.00E-06,-482.94531E-03,+3.00781E-03
-780.00E-06,-482.94531E-03,+273.44E-06
-770.00E-06,-484.03906E-03,+2.46094E-03
-760.00E-06,-482.67188E-03,+1.64063E-03
-750.00E-06,-483.49219E-03,+1.09375E-03
-740.00E-06,-482.12500E-03,+3.00781E-03
-730.00E-06,-482.39844E-03,+273.44E-06
-720.00E-06,-483.21875E-03,+2.73438E-03
-710.00E-06,-481.85156E-03,+1.64063E-03
-700.00E-06,-483.21875E-03,+1.64063E-03
-690.00E-06,-482.67188E-03,+3.82813E-03
-680.00E-06,-483.21875E-03,+546.88E-06
-670.00E-06,-483.49219E-03,+3.28125E-03
-660.00E-06,-482.39844E-03,+1.91406E-03
-650.00E-06,-483.21875E-03,+1.91406E-03
-640.00E-06,-482.12500E-03,+4.10156E-03
-630.00E-06,-483.21875E-03,+546.88E-06
-620.00E-06,-482.12500E-03,+3.00781E-03
-610.00E-06,-481.85156E-03,+1.64063E-03
-600.00E-06,-482.39844E-03,+1.36719E-03
-590.00E-06,-481.85156E-03,+3.55469E-03
-580.00E-06,-482.94531E-03,+0.0E+00
-570.00E-06,-482.12500E-03,+3.82813E-03
-560.00E-06,-481.57813E-03,+1.09375E-03
-550.00E-06,-481.85156E-03,+1.91406E-03
-540.00E-06,-481.03125E-03,+3.28125E-03
-530.00E-06,-482.94531E-03,+273.44E-06
-520.00E-06,-481.30469E-03,+3.82813E-03
-510.00E-06,-482.67188E-03,+1.09375E-03
-500.00E-06,-481.85156E-03,+2.46094E-03
-490.00E-06,-482.39844E-03,+3.00781E-03
-480.00E-06,-482.67188E-03,+273.44E-06
-470.00E-06,-481.85156E-03,+4.10156E-03
-460.00E-06,-481.85156E-03,+1.09375E-03
-450.00E-06,-481.57813E-03,+2.73438E-03
-440.00E-06,-481.57813E-03,+3.55469E-03
-430.00E-06,-482.39844E-03,+820.31E-06
-420.00E-06,-480.75781E-03,+4.37500E-03
-410.00E-06,-481.57813E-03,+1.09375E-03
-400.00E-06,-481.30469E-03,+3.00781E-03
-390.00E-06,-482.39844E-03,+3.55469E-03
-380.00E-06,-482.67188E-03,+1.36719E-03
-370.00E-06,-481.30469E-03,+4.37500E-03
-360.00E-06,-482.67188E-03,+1.91406E-03
-350.00E-06,-480.75781E-03,+3.00781E-03
-340.00E-06,-482.39844E-03,+3.82813E-03
-330.00E-06,-481.57813E-03,+1.36719E-03
-320.00E-06,-481.57813E-03,+4.37500E-03
-310.00E-06,-481.57813E-03,+2.18750E-03
-300.00E-06,-480.75781E-03,+2.73438E-03
-290.00E-06,-483.21875E-03,+3.28125E-03
-280.00E-06,-481.85156E-03,+1.64063E-03
-270.00E-06,-482.12500E-03,+4.10156E-03
-260.00E-06,-481.85156E-03,+1.36719E-03
-250.00E-06,-481.85156E-03,+2.73438E-03
-240.00E-06,-482.12500E-03,+3.55469E-03
-230.00E-06,-481.03125E-03,+1.36719E-03
-220.00E-06,-481.85156E-03,+3.55469E-03
-210.00E-06,-481.30469E-03,+1.64063E-03
-200.00E-06,-481.30469E-03,+2.18750E-03
-190.00E-06,-482.12500E-03,+3.00781E-03
-180.00E-06,-480.75781E-03,+1.36719E-03
-170.00E-06,-481.85156E-03,+3.82813E-03
-160.00E-06,-481.03125E-03,+2.18750E-03
-150.00E-06,-481.57813E-03,+2.73438E-03
-140.00E-06,-482.12500E-03,+3.28125E-03
-130.00E-06,-480.48438E-03,+1.09375E-03
-120.00E-06,-482.39844E-03,+3.82813E-03
-110.00E-06,-480.48438E-03,+1.64063E-03
-100.00E-06,-482.12500E-03,+2.18750E-03
-90.00E-06,-481.57813E-03,+3.00781E-03
-80.00E-06,-481.03125E-03,+1.09375E-03
-70.00E-06,-481.57813E-03,+3.82813E-03
-60.00E-06,-480.75781E-03,+1.64063E-03
-50.00E-06,-481.57813E-03,+2.46094E-03
-40.00E-06,-481.03125E-03,+3.55469E-03
-30.00E-06,-481.57813E-03,+1.36719E-03
-20.00E-06,-481.57813E-03,+4.10156E-03
-10.00E-06,-481.03125E-03,+1.91406E-03
+0.0E+00,+482.28906E-03,+35.54688E-03
+10.00E-06,+491.03906E-03,+101.71875E-03
+20.00E-06,+490.76563E-03,+159.96094E-03
+30.00E-06,+492.67969E-03,+218.47656E-03
+40.00E-06,+492.40625E-03,+267.69531E-03
+50.00E-06,+492.13281E-03,+307.89063E-03
+60.00E-06,+493.22656E-03,+343.98438E-03
+70.00E-06,+493.22656E-03,+368.04688E-03
+80.00E-06,+494.32031E-03,+383.08594E-03
+90.00E-06,+493.77344E-03,+394.57031E-03
+100.00E-06,+492.95313E-03,+399.49219E-03
+110.00E-06,+494.86719E-03,+396.48438E-03
+120.00E-06,+493.50000E-03,+389.64844E-03
+130.00E-06,+495.14063E-03,+379.53125E-03
+140.00E-06,+493.77344E-03,+359.29688E-03
+150.00E-06,+493.50000E-03,+335.50781E-03
+160.00E-06,+494.32031E-03,+307.34375E-03
+170.00E-06,+493.50000E-03,+267.42188E-03
+180.00E-06,+494.86719E-03,+228.59375E-03
+190.00E-06,+493.22656E-03,+185.93750E-03
+200.00E-06,+494.32031E-03,+138.35938E-03
+210.00E-06,+493.50000E-03,+95.42969E-03
+220.00E-06,+493.22656E-03,+46.21094E-03
+230.00E-06,+494.32031E-03,+3.55469E-03
+240.00E-06,+493.50000E-03,-42.10938E-03
+250.00E-06,+494.32031E-03,-82.03125E-03
+260.00E-06,+493.22656E-03,-121.13281E-03
+270.00E-06,+492.95313E-03,-156.40625E-03
+280.00E-06,+492.67969E-03,-186.75781E-03
+290.00E-06,+492.67969E-03,-213.28125E-03
+300.00E-06,+493.50000E-03,-234.88281E-03
+310.00E-06,+492.67969E-03,-251.28906E-03
+320.00E-06,+492.40625E-03,-263.86719E-03
+330.00E-06,+491.85938E-03,-269.06250E-03
+340.00E-06,+491.58594E-03,-272.07031E-03
+350.00E-06,+493.22656E-03,-265.78125E-03
+360.00E-06,+492.40625E-03,-260.31250E-03
+370.00E-06,+492.40625E-03,-245.00000E-03
+380.00E-06,+491.58594E-03,-230.78125E-03
+390.00E-06,+491.58594E-03,-208.35938E-03
+400.00E-06,+492.67969E-03,-187.30469E-03
+410.00E-06,+492.40625E-03,-159.96094E-03
+420.00E-06,+492.40625E-03,-133.43750E-03
+430.00E-06,+491.85938E-03,-103.35938E-03
+440.00E-06,+491.85938E-03,-73.00781E-03
+450.00E-06,+492.95313E-03,-43.20313E-03
+460.00E-06,+491.58594E-03,-11.75781E-03
+470.00E-06,+492.40625E-03,+15.85938E-03
+480.00E-06,+491.58594E-03,+46.21094E-03
+490.00E-06,+492.40625E-03,+71.09375E-03
+500.00E-06,+492.95313E-03,+95.70313E-03
+510.00E-06,+492.40625E-03,+118.39844E-03
+520.00E-06,+492.95313E-03,+135.07813E-03
+530.00E-06,+491.85938E-03,+152.85156E-03
+540.00E-06,+493.22656E-03,+165.15625E-03
+550.00E-06,+492.40625E-03,+172.53906E-03
+560.00E-06,+492.95313E-03,+181.28906E-03
+570.00E-06,+493.22656E-03,+181.83594E-03
+580.00E-06,+491.31250E-03,+181.56250E-03
+590.00E-06,+492.67969E-03,+179.64844E-03
+600.00E-06,+492.13281E-03,+169.25781E-03
+610.00E-06,+492.95313E-03,+162.69531E-03
+620.00E-06,+492.13281E-03,+149.02344E-03
+630.00E-06,+491.31250E-03,+133.16406E-03
+640.00E-06,+492.13281E-03,+120.03906E-03
+650.00E-06,+491.58594E-03,+98.71094E-03
+660.00E-06,+492.13281E-03,+83.12500E-03
+670.00E-06,+492.13281E-03,+61.52344E-03
+680.00E-06,+490.76563E-03,+41.28906E-03
+690.00E-06,+492.67969E-03,+22.96875E-03
+700.00E-06,+490.76563E-03,-0.0E+00
+710.00E-06,+492.67969E-03,-15.03906E-03
+720.00E-06,+490.76563E-03,-37.46094E-03
+730.00E-06,+492.13281E-03,-50.03906E-03
+740.00E-06,+490.49219E-03,-68.08594E-03
+750.00E-06,+490.49219E-03,-80.11719E-03
+760.00E-06,+491.58594E-03,-92.42188E-03
+770.00E-06,+490.49219E-03,-101.71875E-03
+780.00E-06,+491.31250E-03,-108.82813E-03
+790.00E-06,+491.03906E-03,-114.84375E-03
+800.00E-06,+490.21875E-03,-116.21094E-03
+810.00E-06,+491.31250E-03,-118.12500E-03
+820.00E-06,+489.94531E-03,-115.39063E-03
+830.00E-06,+491.31250E-03,-113.75000E-03
+840.00E-06,+490.49219E-03,-106.09375E-03
+850.00E-06,+490.76563E-03,-101.44531E-03
+860.00E-06,+491.03906E-03,-89.14063E-03
+870.00E-06,+490.49219E-03,-82.85156E-03
+880.00E-06,+491.31250E-03,-68.08594E-03
+890.00E-06,+490.21875E-03,-58.24219E-03
+900.00E-06,+490.21875E-03,-44.29688E-03
+910.00E-06,+490.76563E-03,-30.07813E-03
+920.00E-06,+489.67188E-03,-19.68750E-03
+930.00E-06,+490.76563E-03,-2.46094E-03
+940.00E-06,+488.85156E-03,+6.01563E-03
+950.00E-06,+491.31250E-03,+21.87500E-03
+960.00E-06,+488.85156E-03,+31.71875E-03
+970.00E-06,+490.21875E-03,+41.83594E-03
+980.00E-06,+491.03906E-03,+53.32031E-03
+990.00E-06,+489.39844E-03,+57.96875E-03
+1.00000E-03,+490.21875E-03,+68.35938E-03
+1.01000E-03,+489.12500E-03,+71.09375E-03
+1.02000E-03,+489.94531E-03,+76.28906E-03
+1.03000E-03,+490.49219E-03,+80.11719E-03
+1.04000E-03,+489.67188E-03,+78.47656E-03
+1.05000E-03,+490.21875E-03,+81.48438E-03
+1.06000E-03,+488.57813E-03,+76.28906E-03
+1.07000E-03,+490.21875E-03,+74.92188E-03
+1.08000E-03,+490.49219E-03,+71.36719E-03
+1.09000E-03,+490.76563E-03,+63.43750E-03
+1.10000E-03,+491.03906E-03,+60.70313E-03
+1.11000E-03,+489.67188E-03,+50.31250E-03
+1.12000E-03,+490.21875E-03,+44.57031E-03
+1.13000E-03,+490.49219E-03,+35.54688E-03
+1.14000E-03,+489.94531E-03,+25.42969E-03
+1.15000E-03,+491.03906E-03,+19.96094E-03
+1.16000E-03,+489.12500E-03,+7.92969E-03
+1.17000E-03,+489.67188E-03,+3.00781E-03
+1.18000E-03,+489.67188E-03,-8.47656E-03
+1.19000E-03,+490.49219E-03,-13.39844E-03
+1.20000E-03,+489.67188E-03,-22.14844E-03
+1.21000E-03,+489.67188E-03,-29.53125E-03
+1.22000E-03,+489.94531E-03,-32.81250E-03
+1.23000E-03,+489.67188E-03,-41.28906E-03
